,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
814,Роторная,Универсальная,авиационный алюминий,Японский,,8-12V,,,,,,,от 0 до 4 мм (регулировка вылета осуществляется выкручиванием держателя),,32 мм,123 г,6 месяцев,,Роторная тату машинка - CNC Short Pen Q3 Pill orange,9980,https://tatu-shop.ru/products/cnc--short-pen-q3-pill,https://i.siteapi.org/0oOMffFb8x1rhljsBnHBDkS4GO8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4ra6az1z9zeoosww0gk44088wkosw0,,,,,,,,,,,,,,,,,CNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCA,100 мм,,,,,,,,,,,,,,,,,"3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
815,,Универсальная,Алюминий,Япония 9V-12000 об/мин,,5-12 V,,1900 mA/ч,2 часа,до 6 часов,,,,,30 мм,195 г,,,Беспроводная роторная тату машинка - Pen Dragon Flux HM-700 black,6990,https://tatu-shop.ru/products/dragon-flux-hm-700,https://i.siteapi.org/S4ACfWNQoaQUimn7CytD0uw_EL0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/t6dkib87re8sk0sk0skgosscc0g400,Dragon Flux HM-700,,,"от 0 до 4,5 мм",,,,,,,,"0,5 V",,,,,,,,,,,Solong Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,от 60 до 160 Гц,,,,,,,,,,,,,,,,,,,,,,,,,149 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
816,Роторная беспроводная,Универсальная,Авиационный алюминий с защитным покрытием,Бесколлекторный двигатель,,,"0,1V",,,до 10 часов,,,до 5 мм (регулировка вылета осуществляется выкручиванием держателя),151 мм,,,12 месяцев,,Беспроводная тату машинка MT Mustang Evolution Pen 3 Dusk,44990,https://tatu-shop.ru/products/mustang-evolution-pen-3-dusk,https://i.siteapi.org/-yAK5ql12eyAqgyQJ-Tp0ZRIUOQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qk4vw4xb9lw44ocowo04ck84sowswg,,5-13 V,,,,,3 ячейки памяти,,,Цветной OLED экран,,,,,,,Mustang Tattoo (Россия),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Четыре режима работы в том числе DOT режим,,,,,,,,,,,,,,,,MT Mustang Evolution Pen 3,,,,,,33мм и 40мм в комплекте,,,,,,,,,280 x 200 x 50 мм,,,,,,,,,,,,,218 гр,,,,,,,,,,173 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Ватт,3,1,Keep Power емкостью 3500 mAh,950 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
817,Роторная беспроводная,Перманентный макияж,Авиационный алюминий,Mast Special Edition Coreless Motor 10V/10000 об,,,"0,1V",900 mA/ч,"2,5 часа",5 часов,USB Type—C,"2,5 мм",,146 мм,"20-25,5 мм",120 г,6 месяцев,DragonHawk,Беспроводная машинка для татуажа Mast P40 PMU Stroke 2.5mm Pink,9950,https://tatu-shop.ru/products/mast-p40-permanent-pink,https://i.siteapi.org/m8HMYl_haSvnkp1v7Y2L6bRq8oM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sif3vxteunko84s44k0g4oss084808,Mast P40,4-10V,,"0-3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
818,Роторная беспроводная,Перманентный макияж,авиационный алюминий с защитным покрытием,2W - 12000 об,,,,,,,USB Type-C,,,150 мм,,135 г,1 год,DEFENDERR,Беспроводная машинка для татуажа - Defenderr FENIX S Chromium,26950,https://tatu-shop.ru/products/fenix-s-chromium,https://i.siteapi.org/VWqE_qBXWmwQXqIQXT1LBIGrp-o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fxv9tg3il1k4k8k4o88ocgcwscosww,,,,,"2,5 часа",полимерно-литиевый,3 режима памяти,,,LED (цветной),,"0,1V",1600 мАч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 12V,,,,,,,,,,,,,,,,,,,,,,,,,,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 8 часов,,,,,,,,,,,,,,,,,,,,,,,,,,есть режим SMP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
819,Беспроводная роторная,Универсальная,Авиационный алюминий,Швейцарский двигатель 7Вт,,,,2100 mA/ч,2-3 часа,до 10 часов,USB Type—C,"шесть вариантов 2,6 мм, 2,9 мм, 3,2 мм, 3,5 мм, 3,8 мм, 4,0 мм",,135 мм,32 мм,235 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC V12 MAX Adjustable Wireless Pen 6 Stroke Red,14990,https://tatu-shop.ru/products/bronc-v12-red,https://i.siteapi.org/KDRNX8Kvpage_tea5r0yxGnIG1M=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ffpro9pxi6o8g08ckkkkscsok80gkg,BRONC V12 MAX,4-12 V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
820,,Универсальная,авиационный алюминий,Advanced Customization Motor - 10000 об/мин,,6-8V,,,,,,3,до 4 мм (регулировка вылета осуществляется выкручиванием держателя),,26-29 мм,114 г,,,Роторная тату машинка DragoArt Storm Black,2990,https://tatu-shop.ru/products/dragoart--storm-black,https://i.siteapi.org/c98ojtyb-gM5o8YiEuw2bsLMxDQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hsp923nwf3wckkksc800sogww8ggkc,,,,,,,,,,,,,,,,,DragoArt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCA,87 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
821,Роторная,Универсальная,авиационный алюминий с защитным покрытием,Faulhaber (Германия) - 8000 об,,,,,,,,,,118 мм,,165 г,1 год,,Роторная тату машинка - Defenderr Ruby Stealth,15500,https://tatu-shop.ru/products/defender-ruby-stealth,https://i.siteapi.org/q7CvsO44Gor-fnF8lAat4cwGIZ0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/e0hy521kn8gko84gkscg8g08wgs0s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Черный,,,"3,5 - 10V",,,,,,RCA (клипкорд в комплекте),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Вт,"Машинка, клип-корд для подключения машинки к блоку питания, коробка",,,,,,,,,,,,,,,2,267 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
822,,,авиационный алюминий,Mcore Бесщеточный 12V 10000 об/мин,,6-10V,,,,,,4 мм,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,133 г,6 месяцев,,Роторная тату машинка Mast Sensor With 4MM Stroke Pink,8960,https://tatu-shop.ru/products/mast-sensor-with-pink,https://i.siteapi.org/7D_BbsrHNfbeP_bUxzclSzz-nk8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qglebrgkcv4gsc88go8c0ckg8owo88,,,,,,,,,,,,,,,,,DragonHawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
823,Роторная беспроводная,,Авиационный алюминий,Mast Special Edition Coreless Motor 10V/10000 об,,,"0,1V",1000 mA/ч,2 часа,4-6 часов,USB Type—C,"2,5 мм",,,"24,5 мм",122 г,6 месяцев,DragonHawk,Беспроводная машинка для татуажа - Mast P20 Permanent With 2.5MM Stroke Blue,9980,https://tatu-shop.ru/products/mast-p20-permanent-blue,https://i.siteapi.org/FTXD2aShrwtLAVeQ1uJh2vW-E_M=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2cd8xkik9dlwgggk48c4ooc0ckkg08,Mast P20,4-10V,,"0-3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,8 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
824,Роторная беспроводная,Универсальная,авиационный алюминий,DC-motor Swiss Motor - Швейцарский двигатель,,,"0,1V",2000 mA/ч,"2-2,5 часа",до 9 часов,,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",144 мм,35 мм,245 г,6 месяцев,Big Wasp - Hummingbird,Беспроводная тату машинка Big Wasp Meteorix PRO Adjustable Wireless Pen Army Green,12690,https://tatu-shop.ru/products/meteorix-pro-army-green,https://i.siteapi.org/ezGq5HKr7OuE04Kt7u8XxflGff0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/pvm0u4hpkogsc8o04c0ookcwssk04c,,5-11 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 2,,,,,,,,,,,,,,,,,,,,,,Big Wasp Meteorix PRO Adjustable Wireless Pen,,,,,,,,,,,,"6,18Нм",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
825,,Универсал,авиационный алюминий,"Швейцария 8W, 12000 об/мин",,6-9 V,,,,,,,от 0 до 4мм,100 мм,34 мм,150 гр,6 месяцев,Hummingbird Rotary (КНР),Роторная тату машинка Pen Hummingbird Bronc V9 red,9990,https://tatu-shop.ru/products/pen-hummingbird--bronc-v9-red,https://i.siteapi.org/ujljzSIevZNFcwUHUlmMno1JnLU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7rylmoibpkg8o44ko4oc04wkco8wsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Красный,,,,,,,,,,,,3,,,,,,,,,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
826,Роторная беспроводная,Универсальная,авиационный алюминий,Carbon Brush Motor (3,,,"при коротком нажатии 0,1V при длительном нажатии 1V",2200 мАч,,4-8 часов,,"3,5 мм",до 5 мм (регулировка вылета осуществляется выкручиванием держателя),144 мм,34 мм,250 г,6 месяцев,,Беспроводная тату машинка AVA DUKE V3 Wireless Pen Blue,7380,https://tatu-shop.ru/products/ava-duke-blue-v3,https://i.siteapi.org/4nV8iBPLl4QbBZ0tBHmjnT_zg8g=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/myv1121kcasg8g8w4kook0swgw4g4o,,"4,5-12 V",,,2 часа,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVA DUKE V3,5V / 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
827,Роторная,Универсальная,авиационный алюминий,Тайвань (Premium Motor),,5 - 12 V 10000 об/мин,,,,,,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,147 гр,,,Роторная тату машинка DragoArt Atomic II Red,2760,https://tatu-shop.ru/products/atomic-ii-red,https://i.siteapi.org/YKgTt3cHGlxReifowxxMRRnAW2I=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jj10z31vbyg4c80kkgk0sgsc8sg48s,DragoArt Atomic II,,,,,,,,,,,,,,,,DragoArt Tattoo,,,,,,,,,,,,,,,,,,,,разъем DC,25 x 118 мм,Красный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
828,Беспроводная роторная,Универсальная,Авиационный алюминий,Швейцарский двигатель 12000 об/мин,,,,1800 mA/ч,2 часа,до 7 часов,USB Type—C,3,,130 мм,26 мм,149 г,6 месяцев,MICEYA,Беспроводная тату машинка MICEYA MCY-1003 Wireless Tattoo & PMU Pen Black,15990,https://tatu-shop.ru/products/mcy-1003-pen-black,https://i.siteapi.org/WmAnEyOFCD91Rmy_lvZjjMDxup4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qu12o56snascc000ow08wcwks880so,MICEYA MCY-1003,4V-12V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
829,Роторная беспроводная,универсальная,Авиационный алюминий,Япония 8V-11000об/мин,,,"0,1V",1800mA/ч,2 часа,до 8 часов,,3,,135 мм,27 мм,181 г,6 месяцев,Arena - DragonHawk,Беспроводная тату машинка - Arena A-power Wireless 2 Batteries,19990,https://tatu-shop.ru/products/arena--a-power,https://i.siteapi.org/ZiJfNosbxuNpv6HD1b4d7z9DYR4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8da75f9gqpkw0s8w8gkcsw0gcoosw4,Arena A-power Wireless,4-12V,,"0 - 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type—C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
830,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,,"0,1V",1600 mA/ч,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",135 мм,32-39 мм,247 г,6 месяцев,EZ TATTOO,Беспроводная тату машинка EZ P3 Pro 6 Strokes Gloss Golden,12990,https://tatu-shop.ru/products/ez--p3-pro-gloss-golden,https://i.siteapi.org/_u26Y2AQLiwOxAAqXYX3zNaVod8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/gmtg1pd8puok8oos04ks8484sscw0o,,4-12 V,,,2 часа,полимерно-литиевый,,,,OLED Digital Display,,,,,,,,,,,,,,,,,,,,,,60 - 170 Hz,,,,,,,,"2,0/2,4/2,8/3,3/3,7/4,2 mm",Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
831,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,Faulhaber (Германия) - 6800 об,,,,,,,Type-C,,,123 мм,,188 г,1 год,,Беспроводная тату машинка - Defenderr VECTOR Stealth,28500,https://tatu-shop.ru/products/defender-vector,https://i.siteapi.org/bR8tLAp-0S_2d4cylOEm43rL3xY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ctxxcgarjs0k08gog0ckwko88csk8c,,,,,2 часа,полимерно-литиевый,,,,,,"0,1V",1500 мАч,,,,,,,,,,,,,,,,,,,,,,,,,,Черный,,,4 - 12V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Вт,"Машинка Defenderr VECTOR, 2 аккумулятора, адаптер RCA, клип корд RCA, зарядный кабель, уплотнительные кольца, коробка",,,,,,,,,,,,,,5 часов,2,496 г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
